,mol_1,target_H_298,target_S_298,target_Cp_300,target_Cp_400,target_Cp_500,target_Cp_600,target_Cp_800,target_Cp_1000,target_Cp_1500,feature_opt,feature_symm,feature_entropy
99,[H]/C(=C(\[H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])[H],-77.232456,401.83136,154.13856,197.81952,236.68888,268.86384,317.7748,353.29696,408.44208,1,27,3.295836866
100,[H]C(=C(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])C([H])([H])[H],-80.68844,409.73912,154.76616,193.21712,229.03216,260.0356,309.57416,346.72808,404.96936,1,27,3.295836866
101,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],-188.953624,424.55048,175.47696,214.26264,251.75128,284.84672,338.4856,379.15408,443.0856,1,18,2.890371758
102,[H]C([H])=C([H])C([H])([H])C([H])([H])/C([H])=C(/[H])C([H])([H])[H],57.23712,410.07384,143.38568,179.15888,212.25432,240.62184,285.18144,318.1932,369.40536,1,3,1.098612289
103,[H]C#C[C@@]([H])(C#CC([H])([H])[H])C([H])=C([H])[H],499.264168,413.92312,143.55304,174.84936,201.08304,222.75616,256.35368,281.1648,319.8668,1,3,1.098612289
104,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],-217.383904,459.57056,198.27976,245.22424,288.65416,326.31016,386.6016,432.12352,503.50256,1,27,3.295836866
105,[H]/C(=C(/[H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])[H],-54.065648,378.61016,133.92984,166.314,196.39696,222.54696,264.51248,296.2272,346.0168,1,9,2.197224577
106,[H]C([H])([H])C([H])([H])C([H])(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H],-190.459864,409.1952,169.53568,211.7104,251.16552,285.39064,339.82448,380.49296,443.96424,1,81,4.394449155
107,[H]C#CC([H])=C=C([H])C([H])([H])[H],406.60112,338.82032,109.28608,131.75416,150.66584,166.39768,191.04144,209.4092,238.0696,2,3,0.405465108
108,[H]C([H])([H])C#CC([H])([H])C#CC([H])([H])C([H])([H])[H],365.150232,435.47072,145.68688,179.20072,209.32552,235.1408,276.22768,306.93824,354.55216,1,9,2.197224577
