,mol_1,target_H_298,target_S_298,target_Cp_300,target_Cp_400,target_Cp_500,target_Cp_600,target_Cp_800,target_Cp_1000,target_Cp_1500,feature_opt,feature_symm,feature_entropy
107,c1ccccc1[C+]=C,1012.506138,333.94,119.42,155.29,185.37,209.62,245.41,270.38,307.44,1,1,0
108,c1ccccc1[C+]=CC,966.8007888,374.56,140.88,181.26,216.36,245.27,288.77,319.56,365.66,2,3,0.405465108
109,c1ccccc1[CH1+]C,835.0563322,343.99,124.96,163.4,197.21,225.21,267.42,297.35,342.23,2,3,0.405465108
110,c1ccccc1[CH1+]C#C,1114.747889,354.48,132.36,170.5,202.31,227.87,265.42,291.51,330.14,2,1,-0.693147181
111,c1ccccc1[CH1+]C=C,906.1807888,363.32,136.98,179.77,217.55,248.87,295.6,327.64,372.9,2,1,-0.693147181
112,c1ccccc1[CH1+]CC,809.5609834,380.72,147.03,192.74,232.55,265.29,314.5,349.42,402.01,2,3,0.405465108
113,c1ccccc1[CH2+],905.201681,303.61,102.38,136,164.81,188.23,222.94,247.21,283.35,1,1,0
114,CC#C[C+](C#C)(C#C),1501.629332,388.86,138.12,162.84,182.55,198.53,223.07,241.08,268.88,1,6,1.791759469
115,CC#C[C+](C#C)C#CC,1419.670809,409.75,152.8,182.34,207.38,228.35,261.24,285.55,322.93,1,18,2.890371758
116,CC#C[C+](C#CC)C#CC,1345.23546,479.89,183.92,218.21,248.57,274.56,315.85,346.51,393.53,1,162,5.087596335
117,CC#C[C+](C)C,911.2930432,365.8,118.88,145.56,170.35,191.9,226.47,252.44,292.95,1,54,3.988984047
118,CC#C[C+](C)C#CC,1121.799252,423.63,150.08,181.01,208.83,232.76,270.85,299.24,343.1,1,54,3.988984047
119,CC#C[C+](C)C=C,991.0374998,394.08,130.79,161.53,189.2,212.78,249.76,277.07,319.12,1,9,2.197224577
120,CC#C[C+](C=C)C=C,1069.071956,408.7,153.33,187.24,216.14,240.16,277.32,304.63,346.55,1,6,1.791759469
121,CC#C[C+]=CC,1111.282849,375.77,115.76,138.32,158.65,176.17,204.23,225.3,258.1,1,4,1.386294361
122,CC#C[C+]=CCC,1082.3275,430.52,141.85,169.68,194.77,216.37,250.9,276.89,317.54,1,4,1.386294361
123,CC#C[CH1+]C#C,1281.099949,344.06,107.48,127.53,144.48,158.6,180.68,197.05,222.44,1,3,1.098612289
124,CC#C[CH1+]C#CC,1194.6846,384.99,130.32,155.29,177.6,196.74,227.17,249.85,284.82,1,18,2.890371758
125,CC#C[CH1+]C=C,1053.952849,348.74,112.96,139.13,161.82,180.58,209.31,230.28,262.66,1,3,1.098612289
126,CC#C[CH1+]CC,959.2630432,397.48,122.99,149.28,173.54,194.62,228.48,254,293.85,1,9,2.197224577
127,CC#C[CH2+],1077.463741,299.37,80.63,95.4,108.89,120.59,139.44,153.73,176.25,1,3,1.098612289
128,CC(C)(C)[C+](C)C,613.8107886,406.98,157.9,198.7,235.73,267.66,318.83,357.57,418.71,1,1458,7.284820913
129,CC(C)(C)[CH1+]C(C)(C)C,595.230091,448.49,219.16,272.34,321.11,363.39,430.92,480.86,554.66,1,13122,9.48204549
130,CC(C)(C)[CH1+]C(C)(C)CC,569.0047423,507.85,246.53,304.55,356.51,400.52,469.6,521.23,602.78,1,2187,7.690286021
131,CC(C)(C)C[C+](C)C,586.3454398,443.64,185.96,236.68,281.77,319.31,376.73,418.53,482.9,1,1458,7.284820913
132,CC(C)[C+](C)C,648.2161374,393.01,136.98,170.71,202.18,229.6,273.79,307.37,360.43,1,162,5.087596335
133,CC(C)C[C+](C)C,624.0307886,417.06,164.06,206.14,243.99,275.97,326.13,363.6,422.23,1,162,5.087596335
134,CC(C)C[CH1+]C,699.3461374,388.57,149.34,185.71,218.05,245,286.57,317.39,366.1,1,27,3.295836866
135,CC(C)C[CH2+],767.1314861,308.73,116.21,147.65,175.88,199.77,237.3,265.43,310.06,1,18,2.890371758
136,CC(C)CC(C)(C)[C+](C)C,532.0247423,503.82,253.54,318.45,372.84,416.34,481.92,530.52,607.25,1,1458,7.284820913
137,CC[C+](C)C#C,970.7930432,372.92,118.2,146.03,170.78,191.8,225,249.91,289.18,1,9,2.197224577
138,CC[C+](C)CC,658.2761374,397.74,136.13,168.56,199.77,227.29,271.87,305.82,359.72,1,54,3.988984047
139,CC[C+](C)CCC,629.7907886,444.06,168.38,203.56,238.09,269.01,319.62,358.34,419.85,1,27,3.295836866
140,CC[C+](CC)(CC),628.6307886,425.81,162.44,199.92,235.8,267.38,318.53,357.48,419.28,1,162,5.087596335
141,CC[CH1+]CC,745.8514861,372.08,120.95,145.73,170.6,192.81,229.07,256.9,301.51,1,18,2.890371758
142,CC[CH1+]CCC,715.0861374,407.1,152.78,183.75,212.51,237.81,279.18,311.12,362.52,1,9,2.197224577
143,CC=[C+]C,932.5966403,308.26,89.2,107.6,124.84,139.89,164.24,182.79,212.14,1,4,1.386294361
144,CC=[C+]C#C,1212.158197,329.46,93.47,110.81,125.61,138.04,157.67,172.42,195.65,1,1,0
145,CC=[C+]C=CC,916.9157481,359.17,118.77,146.07,171.26,192.99,227.47,253.18,293.24,2,4,0.693147181
146,CC=[C+]CC,899.3112915,346.74,108.41,133.27,156.29,176.25,208.3,232.53,270.65,1,4,1.386294361
147,CC=C[C+](C=C)C=CC,835.6195072,449.83,187.28,228.03,266.07,298.69,349.1,385.55,441.02,2,18,2.197224577
148,CC=C[C+](C=CC)C=CC,786.2141584,470.32,204.59,250.97,294.77,332.79,392.42,435.66,500.16,2,162,4.394449155
149,CC=C[C+]=C,963.6110969,319.73,97.81,120.41,140.51,157.53,184.25,204.11,235.09,1,3,1.098612289
150,CC=C[CH1+]C,792.0012915,321.19,103.71,129.25,153.1,173.78,206.71,231.37,269.98,2,9,1.504077397
151,CC=C[CH1+]C=C,848.0857481,338.51,113.72,144.8,173.24,197.14,233.42,259.28,298.37,2,3,0.405465108
152,CC1C[CH1+]CC1,773.6976136,331.29,116.02,154.62,188.45,216.49,259.36,290.46,337.99,2,3,0.405465108
153,CC1CC[CH1+]CC1,735.3022648,351.71,135.81,180.16,219.83,253.23,304.89,342.53,399.92,1,3,1.098612289
154,CCC#C[CH2+],1048.558392,337.6,101.58,122.87,141.91,158.18,184.12,203.71,234.65,1,3,1.098612289
155,CCC(C)(C)[CH1+]C(C)C,590.832091,446.46,212.79,269.39,320.84,364.39,430.84,478.43,551.41,1,243,5.493061443
156,CCC(C)C[CH2+],738.9461374,348.85,139.38,177.15,211.02,239.63,284.34,317.64,370.08,2,18,2.197224577
157,CCC(C)CC(C)(C)[C+](C)C,507.5393935,541.38,275.95,350.61,414.69,465.2,537.56,588.6,668.08,2,1458,6.591673732
158,CCC(CC)C[CH2+],711.6307886,373.51,165.22,208.98,247.95,280.8,332.13,370.33,430.37,1,18,2.890371758
159,CCC[C+](C)C(C)C,594.7754398,454.46,203.73,245.97,283.71,316.75,370.92,412.81,479.81,1,81,4.394449155
160,CCCC#C[CH2+],1018.963043,380.42,128.93,154.82,178.32,198.56,230.95,255.45,294.22,1,3,1.098612289
161,CCCC[CH2+],776.4414861,323.11,116.75,146.94,174.7,198.51,236.25,264.66,309.7,1,6,1.791759469
162,CCCCC[CH1+]C,689.3007886,435.37,169.81,210.93,248.99,281.35,331.59,368.53,426.12,1,9,2.197224577
