,mol_1,target_H_298,target_S_298,target_Cp_300,target_Cp_400,target_Cp_500,target_Cp_600,target_Cp_800,target_Cp_1000,target_Cp_1500,feature_opt,feature_symm,feature_entropy
280,C/C=C/[C](C)C,62.910962,372.54336,124.474,155.31008,184.5144,209.99496,250.8308,281.41584,328.98792,1,54,3.988984047
189,[CH2]CCCC,58.656486,367.73176,119.91344,148.69936,175.1004,197.81952,234.0948,261.45816,304.76256,1,6,1.791759469
339,C=C(C)CCC[C](C)C,57.515538,513.83704,194.72336,242.42096,286.8132,325.22232,386.55976,432.45824,503.87912,1,54,3.988984047
113,[CH2]C=C(CC)CC,56.431986,409.27888,154.3896,192.2548,226.64728,255.93528,301.95928,336.26808,389.99064,1,18,2.890371758
45,[CH2][C@H](C)CC,53.59803,364.34272,120.20632,149.9964,176.73216,199.40944,235.22448,262.21128,304.97176,2,18,2.197224577
218,[CH2]CCCCCCC/C=C\C,52.65781,591.86864,251.2492,308.86288,363.21304,410.28304,484.75824,540.11256,625.88456,1,6,1.791759469
292,C[C](C)C,51.478886,314.26024,89.57944,110.54128,131.5868,150.624,181.92032,205.76912,243.25776,1,162,5.087596335
127,[CH2]CC(C)C,50.22991,357.64832,120.29,150.4148,177.27608,199.9952,235.81024,262.71336,305.30648,1,18,2.890371758
371,C=C[CH]C(C)(C)C,50.16017,385.38824,154.5988,195.76936,231.5844,261.16528,306.56168,339.86632,391.91528,1,162,5.087596335
217,[CH2]CCCCCCC/C=C/C,48.43197,596.38736,257.23232,312.87952,365.59792,411.4964,484.84192,539.81968,625.508,1,6,1.791759469
430,CC[CH]CC,47.506126,368.90328,114.76712,143.21832,169.82856,193.00792,230.37104,258.65488,303.29816,1,18,2.890371758
415,C=CCCCCCCC[CH]C,46.46549,597.6844,252.12784,308.7792,362.41808,409.11152,483.50304,539.02472,625.25696,1,3,1.098612289
317,C[CH]CCC,46.079382,372.5852,113.5956,142.54888,169.61936,193.0916,230.7476,259.11512,303.67472,1,9,2.197224577
144,[CH2]CC[C@@H](CC=C)C(C)(C)C,44.695658,541.828,251.2492,314.46944,370.4932,417.73056,491.4108,545.8028,629.81752,2,162,4.394449155
